Doctor Name,Address,PTR
FAUSTINO LYZENO,Faustino medical Clinic,nan
FLORA ANGHELITO,Bataan Doctors Hospital,nan
GARCIA ROLAND,Isaac and Catalina Medical Center,nan
GUEVARRA RONNEL,Med Hub olongappo,nan
GUTIEREZ RODA,Bataan Peninsula Medical center,nan
HIPOLITO CHARINA,Bataan Peninsula Medical center,nan
IDIO OLIVIA,Isaac and Catalina Medical Center,nan
ILAGAN CHRISTIAN,Bataan St. Joseph Hospital,nan
IRMA CLAIRE,Bataan St. Joseph Hospital,nan
JACOB MAJAH,Isaac and Catalina Medical Center,nan
JEORGE JENINA JOY,Bataan Peninsula Medical center,nan
LACANIN MARY ROSE,Ridon's st. Jude Medical Center,nan
LINDAIN KRISTINA RUTH,Mariveles Mental Wellness,123023.0
LUCIO JENNICA,Ridon's st. Jude Medical Center,nan
MAGAT IRISH,Bataan St. Joseph Hospital,nan
MAMARIL RONNIE,Ramon magsaysay Memorial Hospital,nan
MANALILI SHERYLL,Bataan Peninsula Medical center,nan
MARCAIDA ALMA,Isaac and Catalina Medical Center,nan
MATAWARAN RENATO,Bataan Peninsula Medical center,nan
MEDINA ARNOLD,Bataan St. Joseph Hospital,nan
MEDINA AARON,James L. Gordon Memorial Hospital,nan
MEJIA RICO PHILIP,Bataan Doctors Hospital,nan
MENDEZ ELBERT,Bataan St. Joseph Hospital,nan
MENDOZA AVVIANE,Ridon's st. Jude Medical Center,nan
MENDOZA MANZO,Ridon's st. Jude Medical Center,nan
MIGUEL SHIELA,Mariveles Mental Wellness,nan
MONATO MITCHELLE,James L. Gordon Memorial Hospital,nan
NAVARRO RIZZA,Bataan St. Joseph Hospital,nan
OCAMPO ARMIDA,Ridon's st. Jude Medical Center,nan
ORGANO ANGHELITA,Organo Medical Clinic,nan
PAGAR RICHELLIE,Ramon magsaysay Memorial Hospital,nan
PAGOMPATUN MITOMADUNG,Bataan Doctors Hospital,nan
PALISOC ENCARNACION,Horizon Pharmacy And Medical Clinic,nan
PATRICIO JC,Allied Care Expert (ACE) Medical Center -  Baypoint,nan
PAYUMO RODA,Isaac and Catalina Medical Center,nan
PERALTA CHERYLL,Zmmg COOP Hospital,nan
PERALTA LEANDER,Zmmg COOP Hospital,nan
PINGUL PAULITA,Isaac and Catalina Medical Center,nan
PRECIARO IRAH CAMELLA,Mariveles Mental Wellness,163955.0
QUIZON SHARMIE,Centro Medico De Santisimo Rosario Inc.,nan
RAMOS MIGUEL,Bataan St. Joseph Hospital,nan
REYES FLOTILDA,Pr Reyes Pharmacy and Medical Clinic,nan
REYES RAYMUND,Pr Reyes Pharmacy and Medical Clinic,nan
REYES ROLAND BENEDICT,Bataan St. Joseph Hospital,nan
REYES PIO,Centro Medico De Santisimo Rosario Inc.,nan
REYES KAREN,Isaac and Catalina Medical Center,nan
ROLDAN  RUTH,Med Hub olongappo,nan
SAGUM BABYLYN,Horizon Pharmacy And Medical Clinic,nan
SALIH ALJUN,Ramon magsaysay Memorial Hospital,nan
SALMON JANINE,Ridon's st. Jude Medical Center,nan
SALVADOR ALFRED,Mariveles Mental Wellness,nan
SANTOS ESTRELLA,Isaac and Catalina Medical Center,nan
SANTOS SHALEE,Centro Medico De Santisimo Rosario Inc.,nan
SEMBLANTE CHITO,Bataan St. Joseph Hospital,nan
SINORO BENEDICT,Ramon magsaysay Memorial Hospital,nan
SOMO ROSS,Somo Medical Clinic,nan
SORIANO ROMMEL,Soriano Medical Clinic,nan
SORVICK JOANNE,Subic Dispensary,nan
TAMAYO BERT,Bataan St. Joseph Hospital,nan
TAN IRENE CAMILE,Mariveles Mental Wellness,nan
TANJUAN JASON,James L. Gordon Memorial Hospital,nan
TARREGA ROXANNE,Mariveles Mental Wellness,nan
TEVES MIGUEL,Mariveles Mental Wellness,nan
TOLENTINO MARVIN,Ridon's st. Jude Medical Center,nan
TONG LORELIE,Mt. Samat Medical Center,nan
VALDECANAS APRIL,Isaac and Catalina Medical Center,nan
VALENCIA  JOSEPH,Bataan Doctors Hospital,nan
VELCHES CARLOS,James L. Gordon Memorial Hospital,nan
VIAR JOHN RYAN,Isaac and Catalina Medical Center,nan
VICTORIA JUDE,Victoria Medical Clinic,nan
VILAREAL PAOLO,Ridon's st. Jude Medical Center,nan
VINLUAN VIRGELIO,VINLUAN MEDICAL CLINIC,nan
VINLUAN PATRICK,VINLUAN MEDICAL CLINIC,nan
YAP PAUL CLARENCE,St pio's Medical center,nan
ZERNA HENRY,zerna Medical Clinic,nan
ABALA ANTHONY,Dela Salle University Medical Center,nan
ABELLAR CHITO,Medical Center Imus,nan
ABSALON ANTONETTE,St. Dominic Hospital,nan
ABU CHERRY,Our Lady of Pillar Medical Center,nan
ACOSTA JANICE,Adventist Hospital/Palawan Medical City,nan
ADAJAR JANET,Molino Doctors Hospital,nan
ADAZA RAQUEL,St. Dominic Hospital,nan
AGCAOILI JENNIELYN,Dela Salle University Medical Center,nan
AGUDERA RUFINO,St. Dominic Hospital,nan
AGUILAR MA. LUZ,St. Dominic Hospital,nan
AGUIRRE-PEDRO DJHOANNA,Dela Salle University Medical Center,nan
ALABADO MA. NICOLETTE,Dela Salle University Medical Center,nan
ALANO ORLANDO,Molino Doctors Hospital,nan
ALCALA LEWEELYNNE,Our Lady of Pillar Medical Center,nan
ALCANTARA KRISTINE ROSE BRANIA,Dela Salle University Medical Center,nan
ALEJANDRO ARTHUR,Divine Grace Medical Center,nan
ALIPIO CHRISTOPHER,SILANG SPECIALIST MEDICAL CENTER,nan
AMBAGAN SUZETTE,Dela Salle University Medical Center,nan
AMBAT JESUS,Dela Salle University Medical Center,nan
AMORA JONAH,Dela Salle University Medical Center,nan
ANGELES ALDOUS,General Emilio Aguinaldo Medical Center,nan
ARADA RAPHAEL,Dela Salle University Medical Center,nan
ARADA ERNESTO III,Dela Salle University Medical Center,nan
ARROSAS MICHAEL,SILANG SPECIALIST MEDICAL CENTER,nan
BAGADIONG ADOLPH STEPHEN,Cavite East Asia Medical Center Inc.,nan
BALGOMERA  NUNE,Dela Salle University Medical Center,nan
BAQUIRAN JULIUS,Cavite East Asia Medical Center Inc.,nan
BAUTISTA JOSE MA.,Puerto General Hospital,nan
BAUTISTA JOSE MARIANITO,Dela Salle University Medical Center,nan
BELLO ALEX,Tagaytay Medical Center,nan
BERATIO LORENA,Tagaytay Medical Center,nan
BERATIO LAKAN FLORENIO,Tagaytay Medical Center,nan
BIENVENIDO TAMANO,Tagaytay Medical Center,nan
BILLONES WILLIAM,Dela Salle University Medical Center,nan
BOBADILLA JOENA,MAGNOLIA SAN MIGUEL,nan
BRIGUELA MARIA CAROLINA,Cavite Center for Mental Health,nan
BRIGUELA MARIVIC,Dela Salle University Medical Center,nan
BRUEL  CELEDONIO,Our Lady of Pillar Medical Center,nan
BURGOS RAQUEL,General Emilio Aguinaldo Medical Center,nan
BUSTAMANTE JOLLY MICHELLE,Our Lady of Pillar Medical Center,nan
CABIDA CHIRSTOPHER,Tagaytay Medical Center,nan
CABUHAT ROEL,Dela Salle University Medical Center,nan
CALLERA RONALDO,Medical Center Imus,nan
CAPULONG ERIC,Dela Salle University Medical Center,nan
CARLOS GARY,Dela Salle University Medical Center,nan
CARUNGCONG AGNES,Dela Salle University Medical Center,nan
CASTILLO EUGENE,Dela Salle University Medical Center,nan
CASTRO JASON,General Emilio Aguinaldo Medical Center,nan
CAVITE MENTAL PHARMACY TRECE,Cavite Mental Pharmacy,nan
CAYTON JOSE,St. Dominic Hospital,nan
CELERA ABUNDIO,Medical Center Imus,nan
CHINCUANGCO MA.CRISTINA,Cavite East Asia Medical Center Inc.,nan
CHUA WILMA ANTHEA,Cavite Center for Mental Health,nan
CONCEPCION DIOSDADO,Our Lady of Pillar Medical Center,nan
CONCEPCION MA. LUISA,Dela Salle University Medical Center,nan
CRUZ JAMIELYN,Cavite East Asia Medical Center Inc.,nan
CRUZ JOSEFINA,Adventist Hospital/Palawan Medical City,nan
CUEVAS GARY,St. Dominic Hospital,nan
CURA JONAS,Riotuba Nickel Foundation Inc. Hospital,nan
DALLUAY MELVIN,Medical Center Imus,nan
DE GUZMAN JENNIFER,General Emilio Aguinaldo Hospital,nan
DE JESUS ARVIN,Our Lady of Pillar Medical Center,nan
DE LEON ADRIAN PAUL,Dela Salle University Medical Center,nan
DELA PASION RENAN,Riotuba Nickel Foundation Inc. Hospital,nan
DELFINO DELFIN,Gentri Doctors Hospital,nan
DELO SANTOS LAARNI,MMG-PPC Cooperative Hospital Palawan,nan
DELOS REYES MA. CECILIA,Our Lady of Pillar Medical Center,nan
DEMEGILLO EMERY,Adventist Hospital/Palawan Medical City,nan
DEMEGILLO FE JOAN,Adventist Hospital/Palawan Medical City,nan
DIJAMCO DIANA,Cavite Center for Mental Health,nan
DLSUMC PHARMACY DASMARINAS,DLSUMC Pharmacy,nan
ESAGUNDE ROMULO,Dela Salle University Medical Center,nan
ESCANO FELIPE,Cavite Center for Mental Health,nan
ESCOBIN MA.AILSA,Dela Salle University Medical Center,nan
ESTABILLO ROSITA,Dela Salle University Medical Center,nan
ESTRADA MYRNA,St. Dominic Hospital,nan
EVANGELISTA CHARISMA,Our Lady of Pillar Medical Center,nan
EVARISTO SHERWIN,St. Dominic Hospital,nan
FABELLO-FLORES JOANNA,Adventist Hospital/Palawan Medical City,nan
FERNANDEZ MA.EIZELLE MULETA,Dela Salle University Medical Center,nan
FLOR JOAN MARIE,Our Lady of Pillar Medical Center,nan
FORONDA SHERWIN,Gentri Doctors Hospital,nan
FORTES KAREN,Our Lady of Pillar Medical Center,nan
GABRIELLE GABRIELE FRANCHESCA,Dela Salle University Medical Center,nan
GACITA SUZIE ILAGAN,ACE MEDICAL CENTER PALAWAN,nan
GALAN JOSE LORENZO,Wellpoint Sm Bacoor,nan
GAMBOA JULIE ANNE,CITY OF IMUS DOCTORS HOSPITAL,nan
GAMUTAN  MA. TERESITA,Our Lady of Pillar Medical Center,nan
GENERIC MD 11,GENERIC,nan
GENUINO ANNA JOSEFINA,Dela Salle University Medical Center,nan
GEPAY CYNIE,Adventist Hospital/Palawan Medical City,nan
GIMA ANICETO,Our Lady of Pillar Medical Center,nan
GO-LOPEZ EUNICE  BERNADETTE,Dela Salle University Medical Center,nan
GODINEZ VINCENT,Tagaytay Medical Center,nan
GONZAGA LEAH,Tagaytay Medical Center,nan
GONZALES ANADOL,New Sinai MDI Hospital,nan
GONZALES DINA,Dela Salle University Medical Center,nan
GUECO JEANETTE,Molino Doctors Hospital,nan
GUTIERREZ JOSEPHINE,Dela Salle University Medical Center,nan
HUFANA VLADIMIR,Our Lady of Pillar Medical Center,nan
HUSSIN JASPER,Dela Salle University Medical Center,nan
ICASIANO IMELDA,Divine Grace Medical Center,nan
IDOR GENER,Cavite East Asia Medical Center Inc.,nan
ILANO-AQUINO FIDELINDA,Our Lady of Pillar Medical Center,nan
JAUCULAN-ROJO MARIA CRISTINA,Adventist Hospital/Palawan Medical City,nan
KHAN RODOLFO,Tagaytay Medical Center,nan
LAMPA GARCIA  SARAH JANE,Dela Salle University Medical Center,nan
LANDAS LERWIN,Our Lady of Pillar Medical Center,nan
LAWENKO RONA MARIE ATA,Dela Salle University Medical Center,nan
LIM JENET,Dela Salle University Medical Center,nan
LIM RICHARD THOMAS,Dela Salle University Medical Center,nan
LIM-DY MARIE FE VERGARA,Dela Salle University Medical Center,nan
LIWAG  RICARDO,Dela Salle University Medical Center,nan
LOPEZ GLORIA,Imus Medical Center,nan
LU JEREMY WINSON,Our Lady of Pillar Medical Center,nan
LUA JR ROMULO,General Emilio Aguinaldo Medical Center,nan
"LUCERO, CHITO",Dela Salle University Medical Center,nan
MABALOT ALDO REY,Riotuba Nickel Foundation Inc. Hospital,nan
MACALALAD NOEL,Dela Salle University Medical Center,nan
MACALINTAL ALAN DENNIS,Adventist Hospital/Palawan Medical City,nan
MAJAM TRINA MARIE,Cavite East Asia Medical Center Inc.,nan
MALLILLIN NELSON,Our Lady of Pillar Medical Center,nan
MARQUEZ CHERRY,St. Dominic Hospital,nan
MATANGUIHAN CARLO MIGUEL,Dela Salle University Medical Center,nan
MEDINA CHARISSE,Cavite East Asia Medical Center Inc.,nan
MENDOZA VICTOR,Dela Salle University Medical Center,nan
MENDOZA KRISTINE,St. Dominic Hospital,nan
MIGUEL EDITHA,Puerto General Hospital,nan
MIRAFLORES RUTH,Adventist Hospital/Palawan Medical City,nan
MIRANDA JOSE CARLOS,Our Lady of Pillar Medical Center,nan
MIRANDA RONALDO,Medical Center Imus,nan
MOALONG KEVIN MICHAEL,SOUTH IMUS SPECIALIST HOSPITAL,nan
MORALES RAMIL,Adventist Hospital/Palawan Medical City,nan
NAVARROZA ANN MARGARET,Dela Salle University Medical Center,nan
NIGOS JESUS,PALAWAN MEDICAL PLAZA,nan
ONG OLIVER,Adventist Hospital/Palawan Medical City,nan
OUR LADY OF PILLAR PHARMACY IMUS,Our Lady of Pillar Pharmacy,nan
PABLO DON PEDRO,Dela Salle University Medical Center,nan
PACCIAL RODELEN,St. Dominic Hospital,nan
PAGKATIPUNAN JR NESTOR,Dela Salle University Medical Center,nan
PAGSISIHAN DAVERIC,Dela Salle University Medical Center,nan
PAGTAKHAN LUIS,Pagtakhan Clinic,nan
PAGTAKHAN LUIS MIGUEL,Pagtakhan Clinic,nan
PAGTAKHAN  DANISON,Our Lady of Pillar Medical Center,nan
PALMON ANN,Adventist Hospital/Palawan Medical City,nan
PALOMINO IMELDA,Dela Salle University Medical Center,nan
PANDANAN JOAQUIN,Our Lady of Pillar Medical Center,nan
PARCERO  ROMAN,Medical Center Imus,nan
PARE RONAN DRIAN,Riotuba Nickel Foundation Inc. Hospital,nan
PARTOSA MARIETTE,Dela Salle University Medical Center,nan
PASCUA MARC RYAN,Dela Salle University Medical Center,nan
PASCUA-FRANCISCO DANICA,Dela Salle University Medical Center,nan
PEREGRINO ELSA,Medical Center Imus,nan
POSAS ADELITO,Posas Medical Clinic,nan
POSAS GEMMA,Posas Medical Clinic,nan
RAMIREZ RENATO,Our Lady of Pillar Medical Center,nan
RAMOS RUBY,Our Lady of Pillar Medical Center,nan
RAMOS  BENJAMIN,Our Lady of Pillar Medical Center,nan
RAZO II ROBERTO,Dela Salle University Medical Center,nan
REBANCOS JOSEFINO,Dela Salle University Medical Center,nan
REBLANDO JONATHAN,Adventist Hospital/Palawan Medical City,nan
RESONTOC GERARDO,Cavite Center for Mental Health,nan
REYES MARIE PEARL LEI,Dela Salle University Medical Center,nan
REYES ANGEL,Dela Salle University Medical Center,nan
REYES JASON,St. Dominic Hospital,nan
RIVERA RENE,Dela Salle University Medical Center,nan
RODEROS OLIVIA,Dela Salle University Medical Center,nan
RODRIGUEZ ANDREI,Our Lady of Pillar Medical Center,nan
ROMERO RONALD,Dela Salle University Medical Center,nan
ROMERO  JASON,St. Dominic Hospital,nan
ROXAS JENNYLEEN,Dela Salle University Medical Center,nan
SALANGSANG REI,Dela Salle University Medical Center,nan
"SALIDO,  EVELYN",Dela Salle University Medical Center,nan
SALVADOR DAVID RAYMUND,Dela Salle University Medical Center,nan
SALVADOR ANNABELLE,Medical Center Imus,nan
SANCHEZ ANTONIO ELEONOR,ACE MEDICAL CENTER PALAWAN,nan
SANTI GRACE,Dela Salle University Medical Center,nan
SANTI RICARDO,Dela Salle University Medical Center,nan
SANTIAGO NESTOR,San Pablo Community General Hospital,nan
SANTOS HARIM,Dela Salle University Medical Center,nan
SANTOS ELIZABETH,Dela Salle University Medical Center,nan
SEBOLLENA DAVE RENNEL,Dela Salle University Medical Center,nan
SEE  JASON,Dela Salle University Medical Center,nan
SEMBRANO JOSE MARIA,General Emilio Aguinaldo Medical Center,nan
SIERRA FABBIE,Dela Salle University Medical Center,nan
SILVA AIMEE,Dela Salle University Medical Center,nan
SINGH JACOB,Dela Salle University Medical Center,nan
SOSA MADELEINE,Dela Salle University Medical Center,nan
SUELA JUNAFEL,MAGNOLIA SAN MIGUEL,nan
SUMISTRADO SERRIE,MOLINO POLYCLINIC,nan
SURATOS-GABRIEL FRANCHESCA,CITY OF IMUS DOCTORS HOSPITAL,nan
SY MARK LESTER,Our Lady of Pillar Medical Center,nan
TAN RANDALL ISAAC,Medical Center Imus,nan
TAN  FREDERICK,Divine Grace Medical Center,nan
TAN MICHAEL ALFRED,Our Lady of Pillar Medical Center,nan
TAN JULIE ANNE,Dela Salle University Medical Center,nan
TAN JR GABRIEL,Cavite East Asia Medical Center Inc.,nan
TANTOCO ARTURO,Riotuba Nickel Foundation Inc. Hospital,nan
TAYCO JOHN CARLO,Dela Salle University Medical Center,nan
TIRONA JOSE,Dela Salle University Medical Center,nan
TIU ALEXIS,MAGNOLIA SAN MIGUEL,nan
TIUESCO MICHAEL,Cavite East Asia Medical Center Inc.,nan
TOVERA JOSEPH,Adventist Hospital/Palawan Medical City,nan
TRIUNFO SHARON,Cavite Center for Mental Health,nan
TURALDE CHRISTIAN WILSON,SOUTH IMUS SPECIALIST HOSPITAL,nan
UGALDE JOSEPH,St. Dominic Hospital,nan
UY MA. ESPERANZA,Dela Salle University Medical Center,nan
VALDEZ RAYMOND JOSEPH,Dela Salle University Medical Center,nan
VALENZUELA ABIGAIL,SILANG SPECIALIST MEDICAL CENTER,nan
VALLANGCA JESSICA,NAVAL BASE,nan
VASQUEZ MARCELO,Cavite East Asia Medical Center Inc.,nan
VENTURA VOLTEIR,Medical Center Imus,nan
VICENTE IVAN MICHAEL,Adventist Hospital/Palawan Medical City,nan
VILOG ANGELINE,Our Lady of Pillar Medical Center,nan
YAP ARCHIE,Adventist Hospital/Palawan Medical City,nan
ZOLETA LORETA,Dela Salle University Medical Center,nan
ABBAS  HANIA,MINDALANO HOSPITAL,nan
ABDULLAH  NAJIB,DOCTOR ABDULLAH HOSPITAL,nan
ABEDIN  MOHAMAD,MINDALANO HOSPITAL,nan
ABEJUELA ZAYNAB,MARIA REYNA XAVIER UNIVERSITY HOSPITAL,nan
ABEJUELA NHICCO,CAGAYAN DE ORO MEDICAL CENTER,nan
ABRENA MARIFE THERESA,ABRENA MEDICAL AND HEART CLINIC,nan
ABUCAYON  JEANETTE,ADVENTIS MEDICAL CENTER ILIGAN,nan
ACENAS DONNA,MARIA REYNA XAVIER UNIVERSITY HOSPITAL,nan
ACENAS JEFFREY,"EL SALVADOR LYING-IN & MEDICAL CLINIC, EL SALVADOR CITY, MIS. OR",nan
ACUNA IVAN,SIMBULAN STO. NIÑO GENERAL HOSPITAL,nan
AGUIRRE JOSE,MALAYBALAY POLYMEDIC GENERAL HOSPITAL,nan
AKIAT-BOLANIO GINA,MADONNA AND CHILD HOSPITAL,nan
AKUT JANE CYRIL,CAPITOL UNIVERSITY MEDICAL CITY,nan
ALABA ANGELES,CAGAYAN DE ORO POLYMEDIC GENERAL HOSPITAL,nan
ALAGADAN  RENATO,CAPITOL UNIVERSITY MEDICAL CITY,nan
ALCANTARA RUBY BEATRIZ,CAPITOL UNIVERSITY MEDICAL CITY,nan
ALENTON RODRIGO,MARIA REYNA XAVIER UNIVERSITY HOSPITAL,nan
ALEXANDER  BANTILLES,BANTILLES MEDICAL CLINIC MARANDING,nan
AMATO MACRINE GRACE,MARIA REYNA XAVIER UNIVERSITY HOSPITAL,nan
AMBOR  RAISALAM,DOCTOR ABDULLAH HOSPITAL,nan
APAG RICHE,CAGAYAN DE ORO POLYMEDIC GENERAL HOSPITAL,nan
ARCADIO STELLA,ARCADIO MEDICAL CLINIC,nan
ATUN RUEL,PUERTO COMMUNITY HOSPITAL,nan
BACAL AQUELLO ROBERTO,POLYMEDIC MEDICAL PLAZA HOSPITAL,nan
BACALSO LILIAN,MARIA REYNA XAVIER UNIVERSITY HOSPITAL,nan
BALGOA LEAH,CLINICA YAP,nan
BARRETTO  ANGELIQUE,FK CLINICS,nan
BARRIGA RODAN RODWICK,MARIA REYNA XAVIER UNIVERSITY HOSPITAL,nan
BASANG JEROME,CAGAYAN DE ORO POLYMEDIC GENERAL HOSPITAL,nan
BASCUG  MELANIE,ADVENTIS MEDICAL CENTER ILIGAN,nan
BATARA  JASMINE,ILIGAN POLY CLINIC,nan
BAUTISTA MAGDALE CYNTHIA,CAPITOL UNIVERSITY MEDICAL CITY,nan
BEDAYO JORGE,SABAL DOCTORS HOSPITAL,nan
BELISARIO CLEVAN,CAGAYAN DE ORO POLYMEDIC GENERAL HOSPITAL,nan
BLANCAVER JANE,LAVIÑA GENERAL HOSPITAL INC,nan
BLANES  MARVIE,MERCY COMMUNITY HOSPITAL,nan
BROBO SARAEL,POLYMEDIC MEDICAL PLAZA HOSPITAL,nan
BRUNO  RAQUEL,INTERNST HUB MEDICAL CLINIC,nan
CABALLERO FLAVIANO,CAGAYAN DE ORO POLYMEDIC GENERAL HOSPITAL,nan
CABALUNA   EDCEL,ADVENTIS MEDICAL CENTER ILIGAN,nan
CABUNILAS RHODORA,LAVIÑA GENERAL HOSPITAL INC,nan
CANOY  EPSILON,ADVENTIS MEDICAL CENTER ILIGAN,nan
CAPISTRANO  JILL IRENE,ADVENTIS MEDICAL CENTER ILIGAN,nan
CAPITAN  AIREEN,CAPITAN MEDICAL CLINIC,nan
CARPIO ANTONIO,MARIA REYNA XAVIER UNIVERSITY HOSPITAL,nan
CARPIO CHONA,XAVIER UNIVERSITY CAMPUS CLINIC,nan
CASTILLA MA. TECELYN,VALENCIA POLYMEDIC GENERAL HOSPITAL,nan
CATHERINE ZARATE,POLYMEDIC MEDICAL PLAZA HOSPITAL,nan
CAYABYAB MYRON,CAGAYAN DE ORO MEDICAL CENTER,nan
CHANG  ALAN,CAGAYAN DE ORO MEDICAL CENTER,nan
CHIO RECAJOY,ST. IGNATUIS CLINIC,nan
CO KRISTINE ANN,ST. JUDE THADDEUS GENERAL HOSPITAL,nan
CONCEPTION  MARY JANE,ADVENTIS MEDICAL CENTER ILIGAN,nan
CUANO PATRICIA,LAVIÑA GENERAL HOSPITAL INC,nan
DACUDAO KAREN,CAGAYAN DE ORO POLYMEDIC GENERAL HOSPITAL,nan
DAGANDARA ANGELICA GEM,CAGAYAN DE ORO POLYMEDIC GENERAL HOSPITAL,nan
DAITIA MIGUEL,SABAL DOCTORS HOSPITAL,nan
DEBALUCOS  ARNEL,ADVENTIS MEDICAL CENTER ILIGAN,nan
DEBALUCOS  AUDIE,ADVENTIS MEDICAL CENTER ILIGAN,nan
DEL MUNDO MARY JANE,BETHEL MEDICAL HOSPITAL,nan
DELA CERNA KAYLA PAMELA,ST. JUDE THADDEUS GENERAL HOSPITAL,nan
DELA CRUZ  ABNER,ADVENTIS MEDICAL CENTER ILIGAN,nan
DELA CRUZ  BABY DARLENE,ADVENTIS MEDICAL CENTER ILIGAN,nan
DELA CRUZ  RIANNE,ADVENTIS MEDICAL CENTER ILIGAN,nan
DELORINO  ROWENA,ADVENTIS MEDICAL CENTER ILIGAN,nan
DEPAYSO MARBE,ST. JUDE THADDEUS GENERAL HOSPITAL,nan
DIMAPORO  JOHANIYA,DOCTOR ABDULLAH HOSPITAL,nan
DISPO DONNA BELLE,MALAYBALAY POLYMEDIC GENERAL HOSPITAL,nan
DUENAS GAUDENCIO,CAGAYAN DE ORO POLYMEDIC GENERAL HOSPITAL,nan
DUERO DON AVILA,CAGAYAN DE ORO MATERNITY HOSPITAL,nan
DUMAGUING  JOSEPHINE,CHO CLINIC,nan
EMBAY  LORRAINE,MICRON DIAGNOSTIC CLINIC,nan
ESPIGA-COMONSAD RENEE,POLYMEDIC MEDICAL PLAZA HOSPITAL,nan
ESTRADA  NESTOR,CABILI CLINICS,nan
EUGENE BAGAYO,CAGAYAN DE ORO MEDICAL CENTER,nan
FABIA MA. STELLA,MARIA REYNA XAVIER UNIVERSITY HOSPITAL,nan
FABIANA NATASHA,MARIA REYNA XAVIER UNIVERSITY HOSPITAL,nan
FERNANDEZ  SIME RAYMUND,ADVENTIS MEDICAL CENTER ILIGAN,nan
FLORES CHAMMIE,CAPITOL UNIVERSITY MEDICAL CITY,nan
FLORES  RUBEN,MATERNITY MEDICAL CLINIC,nan
GABULE  MARVIN,MERCY COMMUNITY HOSPITAL,nan
GAITE  AGRIPINA,CHO CLINIC,nan
GAMUTAN TANILLO,LAVIÑA GENERAL HOSPITAL INC,nan
GARCIA JOSEPH ALLAN,CAPITOL UNIVERSITY MEDICAL CITY,nan
GARINGARAO CARLO JAN,ILIGAN MEDICAL HOSPITAL,nan
GARINGARAO  KATHLEEN,ILIGAN MEDICAL HOSPITAL,nan
GO FRANZ ALBERT,MARIA REYNA XAVIER UNIVERSITY HOSPITAL,nan
GO RUBEN,POLYMEDIC MEDICAL PLAZA HOSPITAL,nan
GO KAREN,CAPITOL UNIVERSITY MEDICAL CITY,nan
GO-SEE JUDEE ANN,CAGAYAN DE ORO POLYMEDIC GENERAL HOSPITAL,nan
GOMEZ  HILARIO ABEL,COOP LABORATORY CLINIC,nan
GREGORIOS ARIEL,SIMBULAN STO. NIÑO GENERAL HOSPITAL,nan
GUDITO FRANCO,CAGAYAN DE ORO POLYMEDIC GENERAL HOSPITAL,nan
GUITARTE  GLENN,ADVENTIS MEDICAL CENTER ILIGAN,nan
GUZMAN MAE ARGAILYN,LAVIÑA GENERAL HOSPITAL INC,nan
GWEN BAGAYO,CAGAYAN DE ORO MEDICAL CENTER,nan
HIPONA ANNAH PATRICIA,CAPITOL UNIVERSITY MEDICAL CITY,nan
INTONG  JAIME,INTONG MEDICAL CLINIC,nan
INTONG  JIMSON REY,INTONG MEDICAL CLINIC,nan
JO CELINA,ILIGAN MEDICAL HOSPITAL,nan
JOSOL-BLANCAVER CINDY,ADVENTIST MEDICAL CENTER,nan
KAMLIAN  JANETH,MERCY COMMUNITY HOSPITAL,nan
KENTILITISCA ORLANDO,SIMBULAN STO. NIÑO GENERAL HOSPITAL,nan
KHO ANNE CHRISTINE,CAGAYAN DE ORO MEDICAL CENTER,nan
LAGUINDAB  SOHAILI,DOCTOR ABDULLAH HOSPITAL,nan
LAGURA CRYSTAL FAYE,SIMBULAN STO. NIÑO GENERAL HOSPITAL,nan
LAMPING  ASLAMA,MERCY COMMUNITY HOSPITAL,nan
LAROT HOPE,MALAYBALAY POLYMEDIC GENERAL HOSPITAL,nan
LATORRE MICHELLE,ST. IGNATUIS CLINIC,nan
LAZO PHILIP NERI,MARIA REYNA XAVIER UNIVERSITY HOSPITAL,nan
LIM ABBIE,CAGAYAN DE ORO MEDICAL CENTER,nan
LIM AVELINE SUE ANN,CAPITOL UNIVERSITY MEDICAL CITY,nan
LIM MERLIN MARTIN,LAVIÑA GENERAL HOSPITAL INC,nan
LIMPAHAN  EMERALD,MERCY COMMUNITY HOSPITAL,nan
LIMSIACO   DARYL,MERCY COMMUNITY HOSPITAL,nan
LINOG  JULIE,CAPITOL UNIVERSITY MEDICAL CITY,nan
LLAVORE CARMELITA,MARIA REYNA XAVIER UNIVERSITY HOSPITAL,nan
LOUIESE ANTONETTE LYNN YOUNG,MARIA REYNA XAVIER UNIVERSITY HOSPITAL,nan
LOVELLE  ESCUDERO,ILIGAN MEDICAL HOSPITAL,nan
LOZANO VICTOR ANGELO,CAGAYAN DE ORO POLYMEDIC GENERAL HOSPITAL,nan
MAGAHIN  KAREN,ADVENTIS MEDICAL CENTER ILIGAN,nan
MALENAB  JHONPAUL,DOCTOR UY HOSPITAL,nan
MALENAB  VALERIE ANN,DOCTOR UY HOSPITAL,nan
MAMAWAG ELVIE,MALAYBALAY POLYMEDIC GENERAL HOSPITAL,nan
MANTICAYAN  SHYDIN,ADVENTIS MEDICAL CENTER ILIGAN,nan
MARSHAL JOHANIA,CAPITOL UNIVERSITY MEDICAL CITY,nan
MATUS  JOSELITO,COOP LABORATORY CLINIC,nan
MEDIDAS SATURNINO,MEDIDAS MEDICAL CLINIC,nan
